NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Adult,Older Adult,Child,,,
NCT06780137,A Study to Evaluate the Safety and Efficacy of Gocatamig (MK-6070) and Ifinatamab Deruxtecan (I-DXd) in Participants With Relapsed/Refractory Extensive-Stage Small Cell Lung Cancer (MK-6070-002),https://clinicaltrials.gov/study/NCT06780137,RECRUITING,Small Cell Lung Cancer,BIOLOGICAL: Gocatamig|BIOLOGICAL: Ifinatamab Deruxtecan (I-DXd)|BIOLOGICAL: Durvalumab,Merck Sharp & Dohme LLC,Daiichi Sankyo,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,327,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT06172595,FET PET in Differentiating Tumour Progression From Pseudoprogression in High Grade Glioma,https://clinicaltrials.gov/study/NCT06172595,RECRUITING,"Glioma, Malignant",DIAGNOSTIC_TEST: FET PET,Singapore General Hospital,"National Cancer Centre, Singapore|National Neuroscience Institute Singapore|Duke-NUS Graduate Medical School",ALL,"ADULT, OLDER_ADULT",PHASE2,22,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: DIAGNOSTIC,1,1,0,,,
NCT03598595,"Gemcitabine, Docetaxel, and Hydroxychloroquine in Treating Participants With Recurrent or Refractory Osteosarcoma",https://clinicaltrials.gov/study/NCT03598595,ACTIVE_NOT_RECRUITING,Recurrent Osteosarcoma|Refractory Osteosarcoma,DRUG: Docetaxel|DRUG: Gemcitabine|DRUG: Hydroxychloroquine,M.D. Anderson Cancer Center,National Cancer Institute (NCI),ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1|PHASE2,31,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,1,,,
NCT05211895,A Global Study to Assess the Effects of Durvalumab + Domvanalimab Following Concurrent Chemoradiation in Participants With Stage III Unresectable NSCLC,https://clinicaltrials.gov/study/NCT05211895,RECRUITING,Non-Small Cell Lung Cancer,DRUG: Durvalumab|DRUG: Domvanalimab|OTHER: Placebo,AstraZeneca,"Arcus Biosciences, Inc.",ALL,"ADULT, OLDER_ADULT",PHASE3,860,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR) | Primary Purpose: TREATMENT",1,1,0,,,
NCT05067530,"Cyclin dEpendent Kinase in tRiple nEGatIVe brEast canceR - a ""Window of Opportunity"" Study",https://clinicaltrials.gov/study/NCT05067530,NOT_YET_RECRUITING,Triple Negative Breast Neoplasms,DRUG: Palbociclib|DRUG: Paclitaxel|DRUG: Carboplatin,Medical University of Gdansk,None listed,ALL,"ADULT, OLDER_ADULT",PHASE2,126,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT04668300,"Oleclumab and Durvalumab for the Treatment of Recurrent, Refractory, or Metastatic Sarcoma",https://clinicaltrials.gov/study/NCT04668300,ACTIVE_NOT_RECRUITING,Metastatic Angiosarcoma|Metastatic Dedifferentiated Liposarcoma|Metastatic Osteosarcoma|Recurrent Angiosarcoma|Recurrent Dedifferentiated Liposarcoma|Recurrent Osteosarcoma|Refractory Dedifferentiated Liposarcoma|Refractory Osteosarcoma,BIOLOGICAL: Durvalumab|BIOLOGICAL: Oleclumab,M.D. Anderson Cancer Center,National Cancer Institute (NCI),ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,75,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,1,,,
NCT04546009,"A Study Evaluating the Efficacy and Safety of Giredestrant Combined With Palbociclib Compared With Letrozole Combined With Palbociclib in Participants With Estrogen Receptor-Positive, HER2-Negative Locally Advanced or Metastatic Breast Cancer (persevERA Breast Cancer)",https://clinicaltrials.gov/study/NCT04546009,ACTIVE_NOT_RECRUITING,"Estrogen Receptor-Positive, HER2-Negative Locally Advanced or Metastatic Breast Cancer",DRUG: Giredestrant|DRUG: Giredestrant-matched Placebo|DRUG: Letrozole|DRUG: Letrozole-matched Placebo|DRUG: Palbociclib|DRUG: LHRH Agonist,Hoffmann-La Roche,None listed,ALL,"ADULT, OLDER_ADULT",PHASE3,992,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: DOUBLE (PARTICIPANT, INVESTIGATOR) | Primary Purpose: TREATMENT",1,1,0,,,
NCT04901702,Study of Onivyde With Talazoparib or Temozolomide in Children With Recurrent Solid Tumors and Ewing Sarcoma,https://clinicaltrials.gov/study/NCT04901702,RECRUITING,Recurrent Solid Tumor|Recurrent Ewing Sarcoma|Recurrent Hepatoblastoma|Recurrent Malignant Germ Cell Tumor|Recurrent Malignant Solid Neoplasm|Recurrent Neuroblastoma|Recurrent Osteosarcoma|Recurrent Peripheral Primitive Neuroectodermal Tumor|Recurrent Rhabdoid Tumor|Recurrent Rhabdomyosarcoma|Recurrent Soft Tissue Sarcoma|Recurrent Wilms Tumor|Refractory Ewing Sarcoma|Refractory Hepatoblastoma|Refractory Malignant Germ Cell Tumor|Refractory Malignant Solid Neoplasm|Refractory Neuroblastoma|Refractory Osteosarcoma|Refractory Peripheral Primitive Neuroectodermal Tumor|Refractory Rhabdoid Tumor|Refractory Rhabdomyosarcoma|Refractory Soft Tissue Sarcoma,DRUG: Onivyde|DRUG: Talazoparib|DRUG: Temozolomide,St. Jude Children's Research Hospital,Pfizer|Ipsen,ALL,"CHILD, ADULT",PHASE1|PHASE2,90,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,1,0,1,,,
NCT07398339,Cosiporfin Sodium for Injection Photodynamic Therapy,https://clinicaltrials.gov/study/NCT07398339,RECRUITING,Biliary Tract Cancers (BTC),"DRUG: Cosiporfin Sodium for injection, DVDMS|DRUG: Gemcitabine Hydrochloride for Injection|DRUG: Cisplatin for injection","Shanghai Guangsheng Biopharmaceutical Co., Ltd",Peking University Cancer Hospital & Institute,ALL,"ADULT, OLDER_ADULT",PHASE2,30,INDUSTRY,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT04797767,Venetoclax and CLAG-M for the Treatment of Acute Myeloid Leukemia and High-Grade Myeloid Neoplasms,https://clinicaltrials.gov/study/NCT04797767,RECRUITING,Acute Biphenotypic Leukemia|Acute Myeloid Leukemia|Mixed Phenotype Acute Leukemia|Myeloid Neoplasm|Relapsed Acute Biphenotypic Leukemia|Relapsed Acute Myeloid Leukemia|Relapsed Mixed Phenotype Acute Leukemia|Relapsed Myeloid Neoplasm|Refractory Acute Biphenotypic Leukemia|Refractory Acute Myeloid Leukemia|Refractory Mixed Phenotype Acute Leukemia|Refractory Myeloid Neoplasm|Recurrent Myeloid Sarcoma,DRUG: Cladribine|DRUG: Cytarabine|DRUG: Mitoxantrone|BIOLOGICAL: Recombinant Granulocyte Colony-Stimulating Factor|DRUG: Venetoclax|PROCEDURE: Bone Marrow Aspiration|PROCEDURE: Bone Marrow Biopsy|PROCEDURE: Biospecimen Collection,University of Washington,AbbVie,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,62,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT05145400,Isa-Rd for Frail and/or Much Older Patients With Newly Diagnosed Multiple Myeloma,https://clinicaltrials.gov/study/NCT05145400,RECRUITING,Multiple Myeloma|Cancer,DRUG: Isatuximab|DRUG: Lenalidomide|DRUG: Dexamethasone,UNC Lineberger Comprehensive Cancer Center,"Genzyme, a Sanofi Company",ALL,"ADULT, OLDER_ADULT",PHASE2,50,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT00877500,Ixabepilone in Treating Participants With Significant Residual Disease of HER2/Neu Negative Invasive Breast Cancer After Systemic Therapy,https://clinicaltrials.gov/study/NCT00877500,ACTIVE_NOT_RECRUITING,Bilateral Breast Carcinoma|HER2/Neu Negative|Invasive Breast Carcinoma,OTHER: Best Practice|DRUG: Ixabepilone,M.D. Anderson Cancer Center,National Cancer Institute (NCI),ALL,"ADULT, OLDER_ADULT",PHASE2,116,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT07514936,Venetoclax-Azacitidine in Combination With Chidamide and CAG in Fit Older Patients With Acute Myeloid Leukaemia,https://clinicaltrials.gov/study/NCT07514936,RECRUITING,Newly Diagnosed Acute Myeloid Leukemia (AML)|Elderly Patients,"DRUG: the standard ""3+7"" regimen|DRUG: Azacytidine; Cytarabine; Aclacinomycin; Chidamide; Venetoclax; Granulocyte",Chinese PLA General Hospital,940 Hospital of the People's Liberation Army Joint Logistic Support Force|The General Hospital of Western Theater Command|First Affiliated Hospital of Harbin Medical University|960th Hospital of Joint Logistics Support Force of People's Liberation Army of China|Fourth Medical Center of PLA General Hospital|The First Medical Center of Chinese PLA General Hospital|The 306 Hospital of People's Liberation Army|Air Force General Hospital of the PLA,ALL,"ADULT, OLDER_ADULT",PHASE3,120,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT06514534,"Open-label Study of Asciminib for CML-CP or CML-AP Patients With T315I Mutation Who Are Resistant, Intolerant or Ineligible to Ponatinib.",https://clinicaltrials.gov/study/NCT06514534,RECRUITING,Chronic Myeloid Leukemia (CML),DRUG: ABL001/Asciminib,Novartis Pharmaceuticals,None listed,ALL,"ADULT, OLDER_ADULT",PHASE2,20,INDUSTRY,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT01886872,"Rituximab and Bendamustine Hydrochloride, Rituximab and Ibrutinib, or Ibrutinib Alone in Treating Older Patients With Previously Untreated Chronic Lymphocytic Leukemia",https://clinicaltrials.gov/study/NCT01886872,ACTIVE_NOT_RECRUITING,Stage I Chronic Lymphocytic Leukemia|Stage II Chronic Lymphocytic Leukemia|Stage III Chronic Lymphocytic Leukemia|Stage IV Chronic Lymphocytic Leukemia,DRUG: Bendamustine Hydrochloride|PROCEDURE: Biospecimen Collection|PROCEDURE: Bone Marrow Aspiration|PROCEDURE: Bone Marrow Biopsy|PROCEDURE: Computed Tomography|DRUG: Ibrutinib|OTHER: Laboratory Biomarker Analysis|OTHER: Quality-of-Life Assessment|BIOLOGICAL: Rituximab,National Cancer Institute (NCI),None listed,ALL,OLDER_ADULT,PHASE3,547,NIH,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: CROSSOVER | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT06461819,Safety of Dose Escalation in Definitive Hypofractionated Radiation Therapy With SPACEOAR TM for Patients With Low-to-intermediate Risk Localized Prostate Cancer (DESAR-L),https://clinicaltrials.gov/study/NCT06461819,RECRUITING,Low-to-intermediate-risk Prostate Carcinoma,RADIATION: Low- and medium-risk studies performed after biodegradable substance injection prostate cancer dose increase.,Samsung Medical Center,None listed,MALE,"ADULT, OLDER_ADULT",PHASE2,33,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT04090528,"pTVG-HP DNA Vaccine With or Without pTVG-AR DNA Vaccine and Pembrolizumab in Patients With Castration-Resistant, Metastatic Prostate Cancer",https://clinicaltrials.gov/study/NCT04090528,ACTIVE_NOT_RECRUITING,Castration-resistant Prostate Cancer|Metastatic Cancer|Prostate Cancer,BIOLOGICAL: pTVG-HP|BIOLOGICAL: pTVG-AR|DRUG: Pembrolizumab,"University of Wisconsin, Madison",Merck Sharp & Dohme LLC|Madison Vaccines Incorporated|Prostate Cancer Foundation,MALE,"ADULT, OLDER_ADULT",PHASE2,60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT03573700,Evaluation of CD19-Specific CAR Engineered Autologous T-Cells for Treatment of Relapsed/Refractory CD19+ Acute Lymphoblastic Leukemia,https://clinicaltrials.gov/study/NCT03573700,ACTIVE_NOT_RECRUITING,"Acute Lymphoblastic Leukemia, in Relapse|Acute Lymphoblastic Leukemia, Refractory",DRUG: Cyclophosphamide|DRUG: Fludarabine|DRUG: Mesna|DEVICE: CliniMACS|BIOLOGICAL: CD19- specific CAR engineered autologous T-cells (SJCAR19 product),St. Jude Children's Research Hospital,None listed,ALL,"CHILD, ADULT",PHASE1|PHASE2,24,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,0,1,,,
NCT06432036,"Yttrium-90 (Y90) Radioembolization for the Treatment of Early Stage Renal Cell Carcinoma, The RENEGADE Trial",https://clinicaltrials.gov/study/NCT06432036,RECRUITING,Stage I Renal Cell Cancer|Stage II Renal Cell Cancer,PROCEDURE: Angiogram|PROCEDURE: Biospecimen Collection|PROCEDURE: Computed Tomography|RADIATION: Radioembolization|PROCEDURE: Single Photon Emission Computed Tomography|OTHER: Survey Administration|RADIATION: Yttrium Y 90 Glass Microspheres,Jonsson Comprehensive Cancer Center,Boston Scientific Corporation,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,25,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT06254911,"Pre-operative Atezolizumab in Patients With Resectable, Human Papillomavirus Related Oropharyngeal Carcinoma",https://clinicaltrials.gov/study/NCT06254911,RECRUITING,"Oropharynx Cancer, Stage I",BIOLOGICAL: Atezolizumab|PROCEDURE: Transoral Surgery with cervical lymphadenctomy (neck dissection)|PROCEDURE: Computed Tomography|PROCEDURE: Magnetic Resonance Imaging,Emory University,"National Cancer Institute (NCI)|Genentech, Inc.",ALL,"ADULT, OLDER_ADULT",PHASE2,20,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT06735144,Phase I/II Clinical Study of FH-006 for Injection in Patients With Malignant Solid Tumors,https://clinicaltrials.gov/study/NCT06735144,RECRUITING,Malignant Solid Tumor,DRUG: FH-006|DRUG: FH-006,"Jiangsu HengRui Medicine Co., Ltd.",None listed,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,200,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT06193902,LEU01101: Safety and Preliminary Efficacy of LEU011 in Solid Tumours.,https://clinicaltrials.gov/study/NCT06193902,RECRUITING,"Tumor, Solid",BIOLOGICAL: LEU011,Leucid Bio,None listed,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,17,INDUSTRY,INTERVENTIONAL,Allocation: NA | Intervention Model: SEQUENTIAL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT06653777,Efficacy of Pemigatinib in Patients With Solid Tumors Characterized by an Alteration of the Gene FGFR in Tumor Cells,https://clinicaltrials.gov/study/NCT06653777,RECRUITING,"Solid Tumor, Miscellaneous",DRUG: Pemigatinib,UNICANCER,"National Cancer Institute, France|Incyte BioSciences France",ALL,"ADULT, OLDER_ADULT",PHASE2,40,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT06535607,Study of Volrustomig as Monotherapy or in Combination With Anti- Cancer Agents in Participants With Advanced/Metastatic Solid Tumors,https://clinicaltrials.gov/study/NCT06535607,RECRUITING,Sub-study 1 Cervical Cancer (Volrustomig Monotherapy)|Sub-study 2 Head and Neck Squamous Cell Carcinoma (Volrustomig Monotherapy)|Sub-study 3 Head and Neck Squamous Cell Carcinoma (Volrustomig in Combination With Chemotherapy)|Sub-study 4 Esophageal Squamous Cell Carcinoma (Volrustomig in Combination With Chemotherapy)|Sub-study 5 Unresectable Pleural Mesothelioma (Volrustomig Monotherapy),BIOLOGICAL: Volrustomig|DRUG: Cisplatin|DRUG: Carboplatin|DRUG: Paclitaxel|DRUG: 5-FU,AstraZeneca,None listed,ALL,"ADULT, OLDER_ADULT",PHASE2,257,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT06610734,"Multicenter, Phase II Randomized Controlled Study of Adebrelimab Combined With Chemotherapy and Concurrent Low-Dose Radiotherapy (LDRT) for the Treatment of Extensive-Stage Small Cell Lung Cancer (SCLC)",https://clinicaltrials.gov/study/NCT06610734,RECRUITING,Small Cell Lung Cancer Extensive Stage,DRUG: Adebrelimab|DRUG: Chemotherapy|RADIATION: low dose radiotherapy,Sichuan University,"Shanghai Shengdi Pharmaceutical Co., Ltd",ALL,"ADULT, OLDER_ADULT",PHASE2,202,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT06316960,Safety and Efficacy of Avapritinib in Relapsed or Refractory Pediatric CBF-AML With KIT Mutation,https://clinicaltrials.gov/study/NCT06316960,RECRUITING,"AML, Childhood|Relapse/Recurrence|Refractory AML|Core Binding Factor Acute Myeloid Leukemia|C-KIT Mutation",DRUG: Avapritinib|DRUG: Azacitidine Injection|DRUG: Decitabine Injection|DRUG: Idarubicin Hydrochloride|DRUG: Cytarabine|DRUG: Granulocyte Colony-Stimulating Factor,Children's Hospital of Soochow University,None listed,ALL,"CHILD, ADULT",PHASE2,50,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,0,1,,,
NCT04071223,"Testing the Addition of a New Anti-cancer Drug, Radium-223 Dichloride, to the Usual Treatment (Cabozantinib) for Advanced Renal Cell Cancer That Has Spread to the Bone, RadiCaL Study",https://clinicaltrials.gov/study/NCT04071223,ACTIVE_NOT_RECRUITING,Advanced Renal Cell Carcinoma|Chromophobe Renal Cell Carcinoma|Clear Cell Renal Cell Carcinoma|Collecting Duct Carcinoma|Kidney Medullary Carcinoma|Metastatic Malignant Neoplasm in the Bone|Papillary Renal Cell Carcinoma|Stage IV Renal Cell Cancer AJCC v8|Unclassified Renal Cell Carcinoma,PROCEDURE: Biospecimen Collection|PROCEDURE: Bone Scan|DRUG: Cabozantinib S-malate|PROCEDURE: Computed Tomography|PROCEDURE: Magnetic Resonance Imaging|PROCEDURE: Positron Emission Tomography|OTHER: Questionnaire Administration|RADIATION: Radium Ra 223 Dichloride,National Cancer Institute (NCI),None listed,ALL,"ADULT, OLDER_ADULT",PHASE2,134,NIH,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT07639879,TR115 VS Investigator's Choice in Relapsed/Refractory Peripheral T/NK Cell Lymphoma,https://clinicaltrials.gov/study/NCT07639879,NOT_YET_RECRUITING,PTCL|NK T-Cell Lymphoma,DRUG: TR115|DRUG: Investigator's Choice,Tarapeutics Science Inc.,None listed,ALL,"ADULT, OLDER_ADULT",PHASE3,180,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT06482086,Efficacy of Organoid-Based Drug Screening to Guide Treatment for Locally Advanced Thyroid Cancer,https://clinicaltrials.gov/study/NCT06482086,RECRUITING,Locally Advanced Thyroid Gland Carcinoma,DRUG: Anlotinib|DRUG: Lenvatinib|DRUG: Sorafenib|DRUG: Donafenib|DRUG: Everolimus|DRUG: Apatinib|DRUG: Dabrafenib + Trametinib|DRUG: Cabozantinib|DRUG: Vandetanib|DRUG: Entrectinib|DRUG: Pralsetinib|DRUG: Larotrectinib,West China Hospital,None listed,ALL,"ADULT, OLDER_ADULT",PHASE2,75,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT04246086,"A Study Evaluating the Safety, Pharmacokinetics, and Efficacy of Mosunetuzumab + Lenalidomide (+Len), and the Safety, Tolerability, and Pharmacokinetics of SC Versus IV Mosunetuzumab + Len in Participants With Follicular Lymphoma",https://clinicaltrials.gov/study/NCT04246086,ACTIVE_NOT_RECRUITING,Follicular Lymphoma,DRUG: Mosunetuzumab (IV)|DRUG: Tocilizumab|DRUG: Lenalidomide|DRUG: Mosunetuzumab (SC),Hoffmann-La Roche,None listed,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,237,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: SEQUENTIAL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT05501054,"Phase 1b/2 Trial of Ipilimumab, Nivolumab, and Ciforadenant (Adenosine A2a Receptor Antagonist) in First-line Advanced Renal Cell Carcinoma.",https://clinicaltrials.gov/study/NCT05501054,ACTIVE_NOT_RECRUITING,Renal Cell Carcinoma,DRUG: Ipilimumab|DRUG: Nivolumab|DRUG: Ciforadenant,M.D. Anderson Cancer Center,None listed,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,50,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT07072494,CD19 CAR-T Cell Infusion as Consolidation Therapy in Adolescent and Adult Patients With Acute B-ALL Ineligible for Allogeneic HSCT: A Clinical Study,https://clinicaltrials.gov/study/NCT07072494,RECRUITING,Acute Lymphoblastic Leukemia,DRUG: CD19 CAR-T cells injection,Zhujiang Hospital,None listed,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1|PHASE2,30,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,1,,,
NCT05524584,"Anastrazole, Fulvestrant & Abemaciclib for HR+HER2- Metastatic Breast Cancer",https://clinicaltrials.gov/study/NCT05524584,RECRUITING,Breast Cancer|Metastatic Breast Cancer|Hormone Receptor-positive Breast Cancer|HER2-negative Breast Cancer,DRUG: Fulvestrant|DRUG: Anastrozole|DRUG: Abemaciclib,"University of California, Irvine",None listed,ALL,"ADULT, OLDER_ADULT",PHASE2,20,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT07160725,"A Phase 1/2a, First-in-human, Study of BMS-986517 in Participants With Advanced Solid Tumors",https://clinicaltrials.gov/study/NCT07160725,RECRUITING,Solid Tumours,DRUG: BMS-986517|DRUG: Pumitamig,Bristol-Myers Squibb,None listed,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,540,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: SEQUENTIAL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT06006390,CEA Targeting Chimeric Antigen Receptor T Lymphocytes (CAR-T) in the Treatment of CEA Positive Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT06006390,RECRUITING,Gastric Cancer|Colon Cancer|Rectal Cancer|Esophageal Cancer|Pancreas Cancer|Lung Cancer|Breast Cancer,BIOLOGICAL: CEA-targeted CAR-T cells|BIOLOGICAL: CEA-targeted CAR-T cells,"Chongqing Precision Biotech Co., Ltd",Shanxi Bethune Hospital,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,60,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT03755791,Study of Cabozantinib in Combination With Atezolizumab Versus Sorafenib in Participants With Advanced Hepatocellular Carcinoma (HCC) Who Have Not Received Previous Systemic Anticancer Therapy,https://clinicaltrials.gov/study/NCT03755791,ACTIVE_NOT_RECRUITING,Hepatocellular Carcinoma,DRUG: Cabozantinib|DRUG: Cabozantinib|DRUG: Sorafenib|DRUG: Atezolizumab,Exelixis,None listed,ALL,"ADULT, OLDER_ADULT",PHASE3,837,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT06736613,A Study of Circulating Tumor DNA (ctDNA) Testing for People With B-Cell Lymphoma,https://clinicaltrials.gov/study/NCT06736613,RECRUITING,Diffuse Large B Cell Lymphoma|High-grade B-cell Lymphoma|Stage III High Grade B-Cell Lymphoma|Stage IV High Grade B-Cell Lymphoma|DLBCL - Diffuse Large B Cell Lymphoma|Intravascular Large B-Cell Lymphoma|Diffuse Large B Cell Lymphoma of Breast|Diffuse Large B Cell Lymphoma of Testis|HIV-associated Diffuse Large B Cell Lymphoma|Double Expressor DLBCL,DIAGNOSTIC_TEST: Cerebral Spinal Fluid ctDNA,Memorial Sloan Kettering Cancer Center,None listed,ALL,"ADULT, OLDER_ADULT",PHASE2,50,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: DIAGNOSTIC,1,1,0,,,
NCT07109323,Autologous Transplantation Combined With BCMA CAR-T in the Treatment of UHR-MM,https://clinicaltrials.gov/study/NCT07109323,RECRUITING,"Ultra High Risk mm (uhr-mm), 18-70 Years Old, Suitable for ASCT. And Meet Any of the Following uhr-mm Definitions|Cytogenetics Ultra High Risk|Primary Refractory|Early Progression|Plasma Cell Leukemia|Non Paraosseous Extramedullary Infiltration|R2-ISS-IV /MPSS-IV",DRUG: BCMA CART,"Institute of Hematology & Blood Diseases Hospital, China","Hebei Taihe Chunyu Biotechnology Co., Ltd",ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,50,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT04802759,A Study Evaluating the Efficacy and Safety of Multiple Treatment Combinations in Participants With Breast Cancer,https://clinicaltrials.gov/study/NCT04802759,RECRUITING,"Inoperable, Locally Advanced or Metastatic, ER-positive Breast Cancer",DRUG: Giredestrant|DRUG: Abemaciclib|DRUG: Ipatasertib|DRUG: Inavolisib|DRUG: Ribociclib|DRUG: Everolimus|DRUG: Samuraciclib|DRUG: PH FDC SC|DRUG: Palbociclib|DRUG: Atezolizumab,Hoffmann-La Roche,None listed,FEMALE,"ADULT, OLDER_ADULT",PHASE1|PHASE2,316,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
